LTE/5g Category,Time,Packet Loss Rate,Packet delay,IoT,LTE/5G,GBR,Non-GBR,AR/VR/Gaming,Healthcare,Industry 4.0,IoT Devices,Public Safety,Smart City & Home,Smart Transportation,Smartphone,slice Type,LOS
8,0,0.000867671583381022,50,0,1,0,1,1,0,0,0,0,0,0,0,1,1
12,4,0.0013610845832948094,10,1,0,0,1,0,0,0,0,1,0,0,0,3,0
7,3,0.00031383367388250315,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
16,21,-0.0004275787782081413,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
14,10,0.0004645537509694439,50,0,1,0,1,1,0,0,0,0,0,0,0,1,1
15,20,0.0012412362076215926,100,0,1,1,0,0,0,0,0,0,0,0,1,1,0
14,3,-0.00011073139266292546,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
10,16,0.001357000247046046,150,0,1,0,1,0,0,0,0,0,0,0,1,1,0
2,15,0.00023761881228677242,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
7,1,0.009963585543671563,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
5,0,0.0005766031409657976,50,0,1,0,1,1,0,0,0,0,0,0,0,1,1
1,0,0.009242576387657069,75,0,1,0,1,0,0,0,0,0,0,0,1,1,0
11,1,0.00977674252396649,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
10,5,0.0004291993971617362,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
1,15,0.00010804687206510198,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
20,10,0.000377130610644006,100,0,1,1,0,1,0,0,0,0,0,0,0,1,1
4,14,8.7590462925591e-05,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
2,1,0.0001936586898644184,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
20,7,0.009558071281899434,300,1,0,1,0,0,0,0,0,0,1,0,0,2,0
3,23,0.001076862552972764,150,0,1,0,1,0,0,0,0,0,0,0,1,1,0
3,12,0.010029104359223,75,0,1,0,1,0,0,0,0,0,0,0,1,1,0
8,0,-0.0005704851489153115,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
2,0,0.00017989368017414165,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
2,19,0.00028139226318411723,300,0,1,1,0,0,0,0,0,0,0,0,1,1,1
19,15,0.0005425256215876385,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
12,3,0.0005279010260174515,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
19,21,-0.0006878346839785455,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
16,1,0.0005310874800424386,150,0,1,0,1,0,0,0,0,0,0,0,1,1,1
14,22,0.0002585176336043299,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
3,6,0.0012568929754561045,100,0,1,1,0,1,0,0,0,0,0,0,0,1,0
11,18,0.010257523843153024,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
11,6,0.01192636574532736,100,0,1,0,1,0,0,0,0,0,0,0,1,1,0
14,7,0.00028644525534658353,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
21,7,0.0005687828200902995,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
15,10,0.001477000881746601,100,0,1,1,0,0,0,0,0,0,0,0,1,1,0
20,19,0.000326695625652899,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
16,22,-0.0001566346223201728,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
4,3,0.00038048461024663377,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
11,11,0.009613587392731214,75,0,1,0,1,0,0,0,0,0,0,0,1,1,0
6,9,0.009881590696629996,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
15,23,-0.00024168177391455174,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
3,15,0.01004093706969316,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
10,10,0.0011583292833367543,300,0,1,1,0,0,0,0,0,0,0,0,1,1,0
13,2,-0.000932632596295874,10,1,0,0,1,0,0,0,0,1,0,0,0,3,1
16,9,0.010343130095187256,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
14,13,0.009193642064405174,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
1,21,0.009764034067105283,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
4,1,0.0005454752984836831,10,1,0,0,1,0,0,0,0,1,0,0,0,3,1
12,22,3.3140009547731385e-05,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
12,13,0.00046112761103534697,100,0,1,1,0,1,0,0,0,0,0,0,0,1,1
11,20,-0.0003566518546299841,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
8,22,0.00034079887446733796,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4,4,0.009634816684141432,75,0,1,0,1,0,0,0,0,0,0,0,1,1,0
3,14,0.0011082292947909875,100,0,1,1,0,0,0,0,0,0,0,0,1,1,0
2,23,0.010022785919951907,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
10,14,0.0006741998261970915,50,0,1,0,1,1,0,0,0,0,0,0,0,1,1
12,5,0.0010729720446626628,10,1,0,0,1,0,0,0,0,0,0,1,0,3,0
22,4,0.010316959511159006,300,1,0,1,0,0,0,0,0,0,1,0,0,2,0
4,7,0.008987428706671196,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
16,8,9.422715738471383e-05,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
12,13,-0.00032989323238419397,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
2,21,0.000427216667398112,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
7,23,-0.0003952603692163503,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
18,10,0.0009426317792665505,100,0,1,1,0,1,0,0,0,0,0,0,0,1,1
2,13,0.0012524936394902285,150,0,1,0,1,0,0,0,0,0,0,0,1,1,0
21,0,0.01043287759708506,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
12,1,-0.0005991482035278881,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
15,8,-0.0001662506179204742,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
7,23,0.009762527344419522,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
17,9,-0.00032566461628685594,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
8,20,0.0018827271201405484,50,1,0,1,0,0,0,1,0,0,0,0,0,2,0
8,3,0.0012024908554804778,50,1,0,1,0,0,0,1,0,0,0,0,0,2,0
2,2,-0.0006294419771675226,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
18,1,0.0004599309735273881,300,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4,14,0.002061078098506317,100,0,1,1,0,1,0,0,0,0,0,0,0,1,0
11,21,0.0015162326302755734,50,1,0,1,0,0,0,1,0,0,0,0,0,2,0
8,14,-0.0007586849829770067,300,0,1,1,0,0,0,0,0,0,0,0,1,1,1
12,17,-0.0002411170364331257,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
18,12,0.0006344555745933114,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
1,8,-0.0003528347328093904,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
6,6,0.0012219097140731142,50,1,0,1,0,0,0,1,0,0,0,0,0,2,0
22,9,0.0003883170267146684,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
19,5,0.0005365347642109586,50,1,0,1,0,0,0,1,0,0,0,0,0,2,1
18,18,0.0009702373219691,50,0,1,0,1,1,0,0,0,0,0,0,0,1,1
6,15,-0.0006206336700345363,150,0,1,0,1,0,0,0,0,0,0,0,1,1,1
12,5,-0.0005111938206671449,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
22,6,0.0008737159243034199,50,1,0,1,0,0,0,1,0,0,0,0,0,2,1
13,23,0.009376108409017576,100,0,1,0,1,0,0,0,0,0,0,0,1,1,0
10,14,0.0008172056519658177,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
14,18,0.009284929311019683,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
2,13,0.009779977756651508,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
11,4,0.0010653702886430456,100,0,1,1,0,1,0,0,0,0,0,0,0,1,0
10,11,0.0007216366445330578,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
3,18,0.00928206892441028,75,0,1,0,1,0,0,0,0,0,0,0,1,1,0
2,9,0.0005825818760774799,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
11,12,0.0010051165305097936,100,0,1,1,0,0,0,0,0,0,0,0,1,1,0
16,7,-0.0004897543255239754,10,1,0,0,1,0,0,0,0,1,0,0,0,3,1
3,2,0.00023205173713163537,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
16,3,0.00010052984778673502,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
6,2,0.0006998915614206027,50,1,0,1,0,0,0,1,0,0,0,0,0,2,1
19,22,3.590104249500946e-05,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
9,20,0.00080734320156912,50,1,0,1,0,0,0,1,0,0,0,0,0,2,1
18,4,5.775867262562402e-05,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
15,17,0.010331065337260524,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
10,10,0.001793008408072676,100,0,1,1,0,0,0,0,0,0,0,0,1,1,0
13,3,0.009381092250586576,100,0,1,0,1,0,0,0,0,0,0,0,1,1,0
5,4,0.0010675166873281333,10,1,0,0,1,0,1,0,0,0,0,0,0,3,0
8,21,-0.000975043899761251,300,0,1,1,0,0,0,0,0,0,0,0,1,1,1
6,7,0.00992410745248221,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
19,12,0.00029515860324228827,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
15,12,0.00014149593386751633,10,1,0,0,1,0,0,0,0,1,0,0,0,3,1
5,8,-0.00031034975991029687,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
20,6,-0.00010306112517863762,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
20,5,0.009753499532670584,100,0,1,0,1,0,0,0,0,0,0,0,1,1,0
11,7,0.0007053176215278943,50,1,0,1,0,0,0,1,0,0,0,0,0,2,1
4,9,0.00042580104851051235,10,1,0,0,1,0,0,0,0,1,0,0,0,3,1
19,11,0.0011785077429825237,50,1,0,1,0,0,0,1,0,0,0,0,0,2,0
14,11,0.009653545202369673,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
13,2,0.00045079993771662537,300,0,1,1,0,0,0,0,0,0,0,0,1,1,1
18,0,0.010153649760438305,300,1,0,1,0,0,0,0,0,0,1,0,0,2,0
1,18,0.00040743105941948006,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
13,11,0.010314814420961806,100,0,1,0,1,0,0,0,0,0,0,0,1,1,0
2,13,-0.0004134975054610361,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
7,23,-0.00027909052009848475,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
6,19,0.010373646802561632,300,1,0,1,0,0,0,0,0,0,1,0,0,2,0
15,5,0.00030618513271673246,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
16,12,-9.450796982074065e-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
19,4,5.9663691654390995e-05,10,1,0,0,1,0,0,0,0,1,0,0,0,3,1
9,21,0.0016388324478942124,50,0,1,0,1,1,0,0,0,0,0,0,0,1,0
3,6,0.0007042143055820851,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
7,19,0.00027454869058501897,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
19,19,-0.00010009632621694704,10,1,0,0,1,0,0,0,0,1,0,0,0,3,1
8,15,0.00989115939838639,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
12,16,0.010549388425993594,300,1,0,1,0,0,0,0,0,0,1,0,0,2,0
21,2,0.00041370817449401493,10,1,0,0,1,0,0,0,0,1,0,0,0,3,1
